job_title,company,location,experience,salary,required_skills,apply_link
Frontend Developer,TCS,Kolkata,0-1 Years,₹3 LPA - ₹6 LPA,"CSS, Git, Angular, React, Communication",https://tcs.com/careers
React Developer,Tech Mahindra,Kochi,Fresher,₹3 LPA - ₹5 LPA,"Git, JavaScript, HTML, CSS, Redux, React, Adaptability",https://techmahindra.com/in/careers
Data Scientist,HCLTech,Pune,0-1 Years,₹4 LPA - ₹7 LPA,"Machine Learning, NumPy, Python, Pandas, Leadership, Problem Solving",https://hcltech.com/careers
Cloud Engineer,Zoho,Hyderabad,2-4 Years,₹8 LPA - ₹14 LPA,"Kubernetes, Cloud Computing, Linux, Terraform, Google Cloud, Docker, Adaptability",https://zoho.com/careers
Java Developer,Tech Mahindra,Kolkata,Fresher,₹3 LPA - ₹5 LPA,"Agile, SQL, MySQL, Teamwork, Problem Solving",https://techmahindra.com/careers/openings
React Developer,HCLTech,Hyderabad,0-1 Years,₹3 LPA - ₹6 LPA,"REST API, HTML, Redux, CSS, Adaptability",https://hcltech.com/careers/openings
Java Developer,Tech Mahindra,Bengaluru,1-2 Years,₹6 LPA - ₹10 LPA,"Spring Boot, Teamwork, Git, SQL, Agile, Time Management, Adaptability",https://techmahindra.com/in/careers
Backend Developer,HCLTech,Pune,0-1 Years,₹4 LPA - ₹7 LPA,"Docker, PostgreSQL, Java, Python, REST API, SQL, Critical Thinking",https://hcltech.com/careers
Frontend Developer,Accenture,Pune,2-4 Years,₹8 LPA - ₹14 LPA,"Bootstrap, Tailwind CSS, Angular, JavaScript, Git, Adaptability",https://accenture.com/careers
QA Engineer,HCLTech,Noida,Fresher,₹3 LPA - ₹6 LPA,"Automation Testing, PyTest, Selenium, Agile, Manual Testing, Critical Thinking",https://hcltech.com/careers/openings
Software Engineer,PhonePe,Chennai,0-1 Years,₹4 LPA - ₹7 LPA,"Python, Problem Solving, SQL, Git, Communication",https://phonepe.com/careers/openings
Data Analyst,Tech Mahindra,Bengaluru,0-1 Years,₹3 LPA - ₹6 LPA,"Communication, Statistics, SQL, Python, Teamwork",https://techmahindra.com/in/careers
QA Engineer,Capgemini,Kolkata,2-4 Years,₹8 LPA - ₹14 LPA,"PyTest, Postman, Automation Testing, Agile, Bug Tracking, Manual Testing, Communication, Teamwork",https://capgemini.com/jobs
C++ Developer,Deloitte,Bengaluru,0-1 Years,₹3 LPA - ₹6 LPA,"C++, Problem Solving, Debugging, C, Communication",https://deloitte.com/careers/openings
C++ Developer,Oracle,Chennai,1-2 Years,₹6 LPA - ₹10 LPA,"Linux, C, Debugging, Git, Critical Thinking",https://oracle.com/in/careers
DevOps Engineer,IBM,Hyderabad,Fresher,₹3 LPA - ₹6 LPA,"Terraform, Jenkins, Git, Docker, CI/CD, Time Management",https://ibm.com/careers/openings
Frontend Developer,Tech Mahindra,Chennai,0-1 Years,₹4 LPA - ₹7 LPA,"Bootstrap, JavaScript, Tailwind CSS, React, Critical Thinking",https://techmahindra.com/careers
Cloud Engineer,Zoho,Hyderabad,Fresher,₹3 LPA - ₹5 LPA,"Docker, Azure, Terraform, Linux, Teamwork, Time Management",https://zoho.com/careers
Full Stack Developer,PwC,Bengaluru,2-4 Years,₹10 LPA - ₹18 LPA,"SQL, CSS, HTML, Git, Express, Teamwork, Critical Thinking",https://pwc.com/careers/openings
React Developer,Infosys,Ahmedabad,Fresher,₹3 LPA - ₹6 LPA,"React, CSS, HTML, Git, Communication",https://infosys.com/careers
Full Stack Developer,Wipro,Ahmedabad,Fresher,₹3 LPA - ₹5 LPA,"React, MongoDB, SQL, CSS, JavaScript, Time Management",https://wipro.com/careers/openings
Machine Learning Engineer,IBM,Noida,0-1 Years,₹4 LPA - ₹7 LPA,"Scikit-learn, NumPy, Statistics, Git, TensorFlow, Critical Thinking, Communication",https://ibm.com/careers
Cloud Engineer,PhonePe,Ahmedabad,Fresher,₹3 LPA - ₹5 LPA,"Docker, Kubernetes, Google Cloud, Azure, Linux, AWS, Problem Solving",https://phonepe.com/careers/openings
Full Stack Developer,Microsoft,Kochi,1-2 Years,₹5 LPA - ₹9 LPA,"Express, SQL, HTML, JavaScript, React, Node.js, Communication",https://careers.microsoft.com/jobs
Machine Learning Engineer,LTIMindtree,Ahmedabad,0-1 Years,₹4 LPA - ₹7 LPA,"Pandas, Git, TensorFlow, Scikit-learn, Communication",https://ltimindtree.com/in/careers
Machine Learning Engineer,Infosys,Bengaluru,1-2 Years,₹5 LPA - ₹9 LPA,"Pandas, Machine Learning, NumPy, TensorFlow, Git, Scikit-learn, Communication",https://infosys.com/careers
Backend Developer,Zoho,Bengaluru,1-2 Years,₹5 LPA - ₹9 LPA,"Java, Node.js, PostgreSQL, Docker, Git, Teamwork, Adaptability",https://zoho.com/jobs
Frontend Developer,EY,Kochi,2-4 Years,₹8 LPA - ₹14 LPA,"JavaScript, Git, React, HTML, Adaptability",https://ey.com/careers/openings
DevOps Engineer,Tech Mahindra,Kolkata,0-1 Years,₹3 LPA - ₹6 LPA,"Docker, Terraform, Jenkins, Kubernetes, CI/CD, Problem Solving, Critical Thinking",https://techmahindra.com/jobs
AI Engineer,TCS,Chennai,2-4 Years,₹10 LPA - ₹18 LPA,"Machine Learning, Computer Vision, Deep Learning, NLP, TensorFlow, Communication, Critical Thinking",https://tcs.com/careers/openings
Full Stack Developer,Freshworks,Kolkata,Fresher,₹3 LPA - ₹5 LPA,"CSS, HTML, Git, Node.js, MongoDB, JavaScript, Leadership, Teamwork",https://freshworks.com/careers/openings
Java Developer,Amazon,Bengaluru,0-1 Years,₹4 LPA - ₹7 LPA,"Spring Boot, REST API, SQL, Git, Agile, Adaptability",https://amazon.jobs/careers/openings
Software Engineer,LTIMindtree,Gurugram,1-2 Years,₹6 LPA - ₹10 LPA,"Problem Solving, Agile, Java, Data Structures, Git, SQL, Adaptability, Critical Thinking",https://ltimindtree.com/jobs
Flutter Developer,Freshworks,Kolkata,2-4 Years,₹8 LPA - ₹14 LPA,"REST API, Dart, Firebase, iOS, Android, Time Management, Adaptability",https://freshworks.com/jobs
Software Engineer,Google,Pune,Fresher,₹3 LPA - ₹6 LPA,"Data Structures, Python, Java, SQL, Agile, REST API, Communication",https://careers.google.com/careers
AI Engineer,Google,Ahmedabad,Fresher,₹3 LPA - ₹6 LPA,"TensorFlow, NLP, Computer Vision, Git, PyTorch, Teamwork, Critical Thinking",https://careers.google.com/careers
Frontend Developer,Amazon,Chennai,0-1 Years,₹4 LPA - ₹7 LPA,"Git, React, Bootstrap, HTML, Teamwork, Time Management",https://amazon.jobs/careers/openings
Cloud Engineer,PhonePe,Kochi,2-4 Years,₹10 LPA - ₹18 LPA,"Terraform, Docker, Google Cloud, Azure, Critical Thinking, Leadership",https://phonepe.com/in/careers
AI Engineer,HCLTech,Mumbai,Fresher,₹3 LPA - ₹6 LPA,"PyTorch, Deep Learning, Computer Vision, Git, Teamwork",https://hcltech.com/jobs
AI Engineer,PwC,Pune,0-1 Years,₹3 LPA - ₹6 LPA,"Computer Vision, Deep Learning, PyTorch, TensorFlow, NLP, Teamwork",https://pwc.com/in/careers
SQL Developer,Freshworks,Bengaluru,2-4 Years,₹10 LPA - ₹18 LPA,"PostgreSQL, Git, Database Design, ETL, Time Management",https://freshworks.com/jobs
Machine Learning Engineer,Amazon,Mumbai,Fresher,₹3 LPA - ₹6 LPA,"Statistics, NumPy, Machine Learning, TensorFlow, Git, Time Management",https://amazon.jobs/careers
C++ Developer,Amazon,Pune,2-4 Years,₹8 LPA - ₹14 LPA,"Data Structures, Git, Debugging, C, Problem Solving, Critical Thinking",https://amazon.jobs/in/careers
Machine Learning Engineer,Amazon,Kolkata,Fresher,₹3 LPA - ₹6 LPA,"Python, Scikit-learn, Machine Learning, Git, Critical Thinking",https://amazon.jobs/careers
AI Engineer,IBM,Bengaluru,0-1 Years,₹3 LPA - ₹6 LPA,"Git, NLP, Python, PyTorch, Time Management",https://ibm.com/careers/openings
Business Analyst,Capgemini,Ahmedabad,Fresher,₹3 LPA - ₹5 LPA,"SQL, Data Analysis, Stakeholder Management, Power BI, Communication, Time Management, Adaptability",https://capgemini.com/jobs
C++ Developer,Freshworks,Chennai,Fresher,₹3 LPA - ₹6 LPA,"Linux, C++, Debugging, Problem Solving, C, Data Structures, Communication, Leadership",https://freshworks.com/careers/openings
Python Developer,Amazon,Mumbai,Fresher,₹3 LPA - ₹6 LPA,"Docker, Flask, SQL, Django, Git, Leadership, Critical Thinking",https://amazon.jobs/in/careers
Cloud Engineer,Amazon,Ahmedabad,1-2 Years,₹6 LPA - ₹10 LPA,"Azure, Google Cloud, Docker, Terraform, Leadership, Critical Thinking",https://amazon.jobs/in/careers
Data Scientist,TCS,Mumbai,1-2 Years,₹5 LPA - ₹9 LPA,"NumPy, Pandas, Data Visualization, Statistics, SQL, Leadership, Communication",https://tcs.com/jobs
C++ Developer,Tech Mahindra,Gurugram,2-4 Years,₹8 LPA - ₹14 LPA,"Git, Problem Solving, Debugging, Linux, C++, Data Structures, Teamwork, Time Management",https://techmahindra.com/jobs
Data Analyst,Freshworks,Noida,2-4 Years,₹10 LPA - ₹18 LPA,"Data Analysis, Power BI, Communication, Tableau, Statistics, Problem Solving, Teamwork",https://freshworks.com/careers
React Developer,Deloitte,Hyderabad,0-1 Years,₹3 LPA - ₹6 LPA,"REST API, Redux, TypeScript, CSS, Communication, Teamwork",https://deloitte.com/careers/openings
AI Engineer,EY,Pune,1-2 Years,₹5 LPA - ₹9 LPA,"Deep Learning, Git, Python, NLP, Computer Vision, TensorFlow, Adaptability",https://ey.com/in/careers
